rep,q_min_global,q_min_observed,q_min_protected,q_path_min,q_path_median,q_path_q05,q_path_q95,augmented_eig_min,tail_margin,nll,time_sec
0,5005.570561894431,5005.57056189443,5005.570561894431,5005.57104836518,5525.258519401214,5009.855376433064,11262.25809151598,2.070380731635625e-14,108.92577139203875,8059.268193310403,3.66813
1,0.00027318193860992324,2938.0918482858933,1245.4188375152326,2941.726035249014,5277.9551973329035,3307.131632525091,19861.697436047394,5.911842022102868e-07,77.26463887050913,8308.407947376149,4.399730957999999
2,4062.4763393140865,4062.4763393140865,4062.4763393140884,4062.4781384751386,5054.146712667121,4073.403797852772,15027.120108228375,4.359391119769117e-13,102.18925209571162,8030.961473619301,3.0394225410000004
4,4426.584618145591,4426.58461814559,4426.584618145589,4426.586416822192,5183.58223270035,4432.887576429089,14792.24594977459,4.7736944103329345e-15,93.71772129601842,8175.19505552695,3.0509555420000005
5,3329.854463580324,3329.854463580322,3329.8544635803046,3329.8545047158104,6446.605579821253,3347.7552749177016,28325.023673892374,-2.7599395859195256e-13,91.31854469942189,8052.4905562544845,5.823658583
6,4452.14753744549,4452.147537445489,4452.1475374454885,4452.147750036769,5512.465652452186,4463.006420129413,15585.228528803023,-3.1758806207719707e-14,103.23393953280622,8100.781390864564,3.283264000000002
7,5204.242041087256,5204.242041087257,5204.242041087255,5204.242416975666,5603.704293647694,5208.151572405947,9295.36296714646,-3.3081251818904585e-13,126.89497160848008,7874.324680997953,2.9410219580000003
8,0.00027523785138328094,2915.259054876736,922.4288121106483,2985.643087580633,5597.477086967332,3422.626134750509,19533.75031498434,4.533899943674157e-07,82.92505771474485,8303.403416475856,3.299399375
9,0.00027297485212329775,3858.548014267045,3685.5643691074756,3858.8029294507783,4821.951546705104,3912.8586157728364,15667.634452826333,2.3884915812110134e-09,92.41108954032899,8061.969683521452,3.420734375000002
10,3913.9950122354203,3913.9950122354203,3913.9950122354117,3913.99519916973,4791.136990360316,3922.8110568249363,13476.513609709373,-4.496796243006343e-13,97.15710087165321,7961.178513987219,3.006866541000001
11,0.0002724387058776756,2060.024937199732,329.4909883193732,2237.3255508109833,5358.26452259542,2955.318747799484,18741.721943099667,1.7337283327440813e-07,95.0601012434353,8001.7904192702445,4.555337082999998
12,0.0002738452749326825,3514.416744814461,3502.263635232058,3515.2512104875286,4466.114275753342,3530.382305633125,15290.391537770314,7.820022659446752e-12,85.54143308316785,8000.693260264359,3.4303501670000003
13,3266.9419687660657,3266.9419687660657,3266.941968766054,3266.942932837733,5113.487685350566,3282.715084495564,20260.35135122716,-1.9223718623652603e-13,96.02022154485253,7889.665391714602,3.8705876670000023
14,4550.546245343957,4550.546245343956,4550.54624534395,4550.546606996601,5539.998648775436,4559.047468838853,15735.748231756155,7.150923264756799e-13,104.18816161027094,8085.06102454449,2.8075657920000054
15,0.0002751544216152979,3473.3133383672302,1620.598511200909,3529.218047329735,5550.673238857164,3897.9043597294567,15809.549226731613,3.9726025568212455e-07,101.87359551311687,8036.259469795881,3.3013222090000056
16,3203.2549044239754,3203.2549044239745,3203.2549044239727,3203.2549354765397,4348.338794773276,3214.6847773888753,18066.99795654091,7.652047726818945e-13,72.7810435945967,8154.654135224269,3.1681936250000007
17,3592.882013366331,3592.8820133663307,3592.8820133663294,3592.8828377893774,4578.464901148745,3605.613129856445,15109.995865785204,-1.961818576387105e-13,85.00005638503478,8061.066902732178,2.947915542000004
18,3815.995945673003,3815.995945673003,3815.9959456730026,3815.9959460975515,4711.253789961078,3821.553339262271,14925.793947972425,-7.923175353097277e-13,91.98716065543842,8057.049161493769,3.0122472500000015
19,0.00027449782646726817,3004.3638686639497,2272.6211421558346,3004.49067378985,4530.578862276043,3169.375926549586,18317.406991952976,9.045260470772028e-08,77.81973133182191,8167.088841603423,3.7339505409999982
20,0.0002750888488662895,3464.687458279809,2647.3458694242127,3471.332893791635,4615.040106359673,3634.8772619639103,13306.81025930737,6.602288813924344e-08,89.44248976447282,8055.645678572487,3.656994749999995
21,0.00027408254391048104,3842.1036725294653,3323.4686017464223,3858.9139819367188,5085.626658480407,3991.617939534026,16461.84471507387,1.2656223173364964e-08,88.17125829918871,8204.614842261652,4.660117333000002
22,0.0002729324405663647,4393.484036306601,3904.244543540725,4417.520751529978,5529.035297347776,4525.325061955433,13167.026776888395,2.5691364017023213e-09,110.49241244521917,8093.437996649647,2.8282185000000055
23,0.00027450257766759023,4044.1894176698106,3718.337935165199,4060.0681419565217,5257.240295950036,4145.934445708475,15870.975496687906,2.1975943151582685e-09,88.80664411099484,8241.118750789468,3.895276542000005
24,4170.505926498893,4170.505926498892,4170.50592649889,4170.5062508845,4773.631759697544,4174.603051531218,12923.764862600947,-8.013016467946288e-13,96.53941112462567,7972.230664862464,3.4917981250000025
