rep,n_success,p_upper,p_lower,q50,q95
0,1,1.0,0.5,22.689634847623083,22.689634847623083
1,2,1.0,0.3333333333333333,56.47074839545877,86.87375058851089
2,3,1.0,0.25,22.705833047164248,83.49725905368143
3,4,1.0,0.2,54.90332184784924,89.77920424908042
4,5,1.0,0.16666666666666666,33.71941437201835,89.62165168434241
5,6,1.0,0.14285714285714285,29.919851208386213,89.4640991196044
6,7,1.0,0.125,33.71941437201835,89.30654655486639
7,8,0.8888888888888888,0.2222222222222222,29.919851208386213,89.14899399012837
8,9,0.9,0.2,33.71941437201835,89.502647789485
9,10,0.9090909090909091,0.18181818181818182,37.36826559967407,89.40899602025881
10,11,0.9166666666666666,0.16666666666666666,33.71941437201835,89.31534425103263
11,12,0.9230769230769231,0.15384615384615385,37.36826559967407,90.74643405256987
12,13,0.9285714285714286,0.14285714285714285,33.71941437201835,90.69148159598372
13,14,0.9333333333333333,0.13333333333333333,33.73212166463834,90.63652913939755
14,15,0.9375,0.125,33.71941437201835,90.5815766828114
15,16,0.9411764705882353,0.11764705882352941,33.73212166463834,90.52662422622524
16,17,0.9444444444444444,0.1111111111111111,33.744828957258335,90.47167176963909
17,18,0.9473684210526315,0.10526315789473684,33.73212166463834,90.41671931305292
18,19,0.95,0.1,33.71941437201835,90.36176685646677
19,20,0.9523809523809523,0.09523809523809523,33.73212166463834,90.30681439988062
20,21,0.9545454545454546,0.09090909090909091,33.71941437201835,90.25186194329446
21,22,0.9565217391304348,0.08695652173913043,31.76326866861386,90.15821017406827
22,23,0.9583333333333334,0.08333333333333333,33.71941437201835,90.06455840484209
23,24,0.96,0.08,33.73212166463834,89.9709066356159
24,25,0.9615384615384616,0.07692307692307693,33.71941437201835,89.87725486638972
25,26,0.9629629629629629,0.07407407407407407,33.73212166463834,89.78360309716354
26,27,0.9642857142857143,0.07142857142857142,33.744828957258335,89.68995132793737
27,28,0.9655172413793104,0.06896551724137931,33.73212166463834,89.59629955871118
28,29,0.9666666666666667,0.06666666666666667,33.71941437201835,89.502647789485
29,30,0.967741935483871,0.06451612903225806,32.45126709705862,89.40899602025881
30,31,0.96875,0.0625,33.71941437201835,89.31534425103263
31,32,0.9696969696969697,0.06060606060606061,33.73212166463834,89.22169248180644
32,33,0.9705882352941176,0.058823529411764705,33.744828957258335,89.12804071258026
33,34,0.9714285714285714,0.05714285714285714,33.829842854054675,89.03438894335407
34,35,0.9722222222222222,0.05555555555555555,33.91485675085102,88.94073717412789
35,36,0.972972972972973,0.05405405405405406,33.829842854054675,88.84708540490172
36,37,0.9736842105263158,0.05263157894736842,33.744828957258335,88.75343363567552
37,38,0.9743589743589743,0.05128205128205128,33.829842854054675,88.65978186644935
38,39,0.975,0.05,33.91485675085102,90.36176685646677
39,40,0.975609756097561,0.04878048780487805,34.51917924773234,92.10162942425771
40,41,0.9761904761904762,0.047619047619047616,35.123501744613655,91.3509110750176
41,42,0.9767441860465116,0.046511627906976744,35.61459539712256,103.28018756150072
42,43,0.9772727272727273,0.045454545454545456,36.10568904963145,102.65233090431742
43,44,0.9555555555555556,0.06666666666666667,35.61459539712256,102.02447424713414
44,45,0.9565217391304348,0.06521739130434782,35.123501744613655,101.39661758995076
45,46,0.9574468085106383,0.06382978723404255,35.61459539712256,100.76876093276748
46,47,0.9583333333333334,0.0625,36.10568904963145,100.14090427558409
47,48,0.9387755102040817,0.08163265306122448,35.61459539712256,99.5130476184008
48,49,0.94,0.08,36.10568904963145,98.88519096121743
49,50,0.9411764705882353,0.0784313725490196,36.22888097869815,98.25733430403415
50,51,0.9423076923076923,0.07692307692307693,36.35207290776485,97.62947764685086
51,52,0.9433962264150944,0.07547169811320754,36.22888097869815,97.00162098966747
52,53,0.9444444444444444,0.07407407407407407,36.10568904963145,96.37376433248419
53,54,0.9454545454545454,0.07272727272727272,36.22888097869815,95.7459076753008
54,55,0.9285714285714286,0.08928571428571429,36.10568904963145,95.11805101811751
55,56,0.9298245614035088,0.08771929824561403,36.22888097869815,94.49019436093423
56,57,0.9310344827586207,0.08620689655172414,36.35207290776485,93.86233770375085
57,58,0.9322033898305084,0.0847457627118644,37.97403301393454,93.23448104656757
58,59,0.9333333333333333,0.08333333333333333,36.35207290776485,92.60662438938418
59,60,0.9344262295081968,0.08196721311475409,37.97403301393454,91.9787677322009
60,61,0.9354838709677419,0.08064516129032258,39.595993120104225,91.3509110750176
61,62,0.9365079365079365,0.07936507936507936,37.97403301393454,91.29595861843144
62,63,0.9375,0.078125,39.595993120104225,91.24100616184529
63,64,0.9384615384615385,0.07692307692307693,39.78900253358272,102.02447424713405
64,65,0.9393939393939394,0.07575757575757576,39.595993120104225,101.39661758995076
65,66,0.9402985074626866,0.07462686567164178,39.78900253358272,100.76876093276748
66,67,0.9411764705882353,0.07352941176470588,39.98201194706121,100.14090427558409
67,68,0.9420289855072463,0.07246376811594203,39.78900253358272,99.5130476184008
68,69,0.9428571428571428,0.07142857142857142,39.98201194706121,98.88519096121743
69,70,0.9436619718309859,0.07042253521126761,39.78900253358272,98.25733430403415
70,71,0.9444444444444444,0.06944444444444445,39.595993120104225,97.62947764685086
71,72,0.9452054794520548,0.0684931506849315,38.18370935415629,97.00162098966756
72,73,0.9459459459459459,0.06756756756756757,39.595993120104225,96.3737643324841
73,74,0.9466666666666667,0.06666666666666667,38.18370935415629,95.7459076753008
74,75,0.9473684210526315,0.06578947368421052,36.771425588208366,95.11805101811751
75,76,0.948051948051948,0.06493506493506493,36.984454504595206,94.49019436093423
76,77,0.9487179487179487,0.0641025641025641,37.09329571282997,93.86233770375094
77,78,0.9493670886075949,0.06329113924050633,37.14538956690601,93.23448104656747
78,79,0.95,0.0625,37.19748342098205,92.60662438938418
79,80,0.9506172839506173,0.06172839506172839,37.29564609235553,91.9787677322009
80,81,0.9512195121951219,0.06097560975609756,37.39380876372901,91.3509110750176
