truth,n_traj,n_success,success_rate,contrast_mean,contrast_median,contrast_q025,contrast_q975,contrast_max,fraction_at_least_observed,fraction_above_nested_q95
M3,100,100,1.0,5.8628795452051055,3.8123625190373787,0.16126106691508538,25.514974595210774,32.52979794599196,0.0,0.0
weak,100,100,1.0,5.792182345963756,3.7033601380353502,0.2634733065811815,24.449865379757135,39.31624452864526,0.0,0.0
moderate,100,100,1.0,5.8416893443542905,3.909927639826492,0.1028501813726052,19.470391734759406,22.43436118106183,0.0,0.0
strong,100,100,1.0,12.27777253995573,10.357856071268543,1.208303303044795,31.760648188375473,43.18897248295252,0.0,0.0
