model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,n_free,aic,bic,q_min_observed,q_min_protected,convergence,time_sec,q_min_global
M2,symmetric Student Kramers model,67.8733362018909,-96.63848189905455,0.0,65.42283620189089,0.0,64.2695,233.1185,4388.0601,0.0,0.0,0.0,8524.34770786563,6,17060.69541573126,17095.63729131627,4176.668090406608,4176.668090406608,0,310.480241708,4176.668090406608
M3,asymmetric drift with velocity-dependent diffusion,67.88621899054552,-97.82721810094544,8.4228,66.2782,-9.1246,64.4634086056727,228.2274,4369.9513,0.0,0.0,0.0,8524.05892909603,8,17064.11785819206,17110.70702563874,4167.946212007429,4167.946212007429,0,538.5079304169999,4167.946212007429
M4,asymmetric drift with position-velocity diffusion,67.26743274284824,-93.53609846452393,13.18316033801224,68.07460347945783,-12.467355440448802,63.49748485957926,217.14487878213046,4132.6419646903105,228.04765836408205,-240.59981348860177,-457.05493045352864,8499.31164963024,11,17020.62329926048,17084.68340449966,3867.0320665349423,3695.7887795595366,0,0.253073042,0.00027564121410250664
