model,observation,parameter,truth,n_total,n_success,success_rate,mean,bias,rmse,q025,median,q975
M3,complete,eta,30.0,100,100,1.0,28.54532199113872,-1.4546780088612803,2.575656480977492,24.634556745645646,28.43214697030752,32.807210601716385
M3,complete,a,-125.0,100,100,1.0,-79.40798796426415,45.59201203573584,46.893333950874634,-98.06601772023276,-79.11467041599093,-58.84751544787177
M3,complete,b,40.0,100,100,1.0,15.996769439156987,-24.003230560843008,25.76987253636749,-1.9483789900970163,15.547826675768524,36.34338778708092
M3,complete,c,150.0,100,100,1.0,92.1565174317832,-57.84348256821681,59.51684029745399,66.18725005983977,92.64732525444691,116.84368574147827
M3,complete,d,-20.0,100,100,1.0,0.5021371693304431,20.502137169330446,22.517038367720193,-15.365390863650745,1.0997066256530141,17.642120479217013
M3,complete,alpha,20.0,100,100,1.0,19.96736190600029,-0.03263809399970814,2.4635951196093586,15.672207023689941,19.99408702243474,24.417239060006423
M3,complete,beta,-8.0,100,100,1.0,-2.3267403714333,5.673259628566701,17.074447547039323,-32.36673820537834,-2.4588601112498596,25.99687002863556
M3,complete,gamma,1280.8,100,100,1.0,1295.5301422627185,14.73014226271881,72.83341969735963,1183.586262169875,1293.8245213174755,1434.4918418593522
M3,partial,eta,30.0,100,100,1.0,38.014172758923856,8.014172758923856,8.19246321285013,34.86513722445289,37.85833141339094,41.57534074593272
M3,partial,a,-125.0,100,100,1.0,-130.33768789672808,-5.337687896728073,11.18036705690933,-152.87807600653917,-129.46144404614557,-114.6116725482787
M3,partial,b,40.0,100,100,1.0,42.804858954328736,2.8048589543287266,9.985914503584883,25.662423590717456,44.139098414192844,57.888011264845645
M3,partial,c,150.0,100,100,1.0,154.59618749311792,4.596187493117938,16.323675020702936,127.39308329517304,154.82636011295835,190.12254557697875
M3,partial,d,-20.0,100,100,1.0,-19.473548980696112,0.5264510193038903,11.696418418264486,-38.66059232168248,-20.4196601094958,3.932442076734651
M3,partial,alpha,20.0,100,100,1.0,21.404643594507938,1.4046435945079372,4.431258432491716,14.164245837889233,21.263612229063675,29.470990421649937
M3,partial,beta,-8.0,100,100,1.0,-19.220809177520024,-11.220809177520023,25.82980787738795,-64.21554168157319,-16.081346802598695,27.292073526456516
M3,partial,gamma,1280.8,100,100,1.0,1452.6467870954395,171.84678709543937,202.709090670017,1257.1720735943254,1457.100496303216,1684.4187811150327
M4,complete,eta,30.0,100,100,1.0,28.601173483342514,-1.3988265166574836,2.5237200002566493,24.715709341501526,28.452800765037175,32.721407585609214
M4,complete,a,-125.0,100,100,1.0,-79.52225424687077,45.47774575312922,46.742224424540076,-98.06246326543514,-78.57262987697618,-60.2301378627864
M4,complete,b,40.0,100,100,1.0,16.530938241461477,-23.469061758538523,25.197727521055217,-1.377367456180011,16.104580313774594,35.164100600547656
M4,complete,c,150.0,100,100,1.0,93.48944418012273,-56.51055581987726,58.084773251297065,70.23345885906932,93.19899423390086,118.65100967585762
M4,complete,d,-20.0,100,100,1.0,-0.21934182881687658,19.780658171183124,21.747756668024792,-15.832437238417256,0.5055549830373094,16.226710125285887
M4,complete,alpha,20.0,100,100,1.0,19.976059425537475,-0.023940574462526988,2.4064059284148445,15.678520992685003,20.122469621419533,24.133330269377225
M4,complete,beta,-8.0,100,100,1.0,-1.5684006793507328,6.431599320649269,18.994420545117812,-39.18979036285531,-0.5614303445126924,28.99046466204908
M4,complete,gamma,1280.8,100,100,1.0,1271.2801516092713,-9.519848390728813,83.58658946053343,1099.8762518638566,1276.8420231175148,1426.1755452339576
M4,complete,delta,4.0,100,100,1.0,26.419189766241104,22.419189766241097,41.003700024127916,0.11703333180710462,9.025998138829472,110.79963429809635
M4,complete,epsilon,2.0,100,100,1.0,-7.784542733340807,-9.784542733340807,17.431716110657412,-36.178937841283535,-6.713467195098061,19.893626407513615
M4,complete,zeta,1.0,100,100,1.0,9.19563885376533,8.19563885376533,38.80041874932432,-61.520556708856134,2.421492347421959,78.01124473286741
M4,partial,eta,30.0,100,100,1.0,37.96037371617666,7.960373716176663,8.141379981838089,34.847452974525766,37.78251113751461,41.550313150742866
M4,partial,a,-125.0,100,100,1.0,-130.22768176777703,-5.227681767777011,11.164661214050383,-152.80460058710472,-129.18427703741526,-114.69216520803488
M4,partial,b,40.0,100,100,1.0,42.94764621747381,2.947646217473813,10.451426708126087,24.506930228771157,44.39554439933616,58.6510563072032
M4,partial,c,150.0,100,100,1.0,155.74296304404194,5.742963044041931,16.388698351309035,127.91488200041799,154.66889807836515,189.61230675271634
M4,partial,d,-20.0,100,100,1.0,-19.630743753973274,0.3692562460267236,11.69142155580589,-39.02172485942867,-20.179174884272474,3.803010850073292
M4,partial,alpha,20.0,100,100,1.0,21.121586144945528,1.1215861449455296,4.339223231154459,13.672151479854382,20.923850172734795,28.317671076991754
M4,partial,beta,-8.0,100,100,1.0,-19.4795409995415,-11.479540999541499,28.463083013072485,-84.11716955874915,-18.11079508135302,28.036580557738453
M4,partial,gamma,1280.8,100,100,1.0,1445.1380116383966,164.33801163839726,203.01075608332144,1238.808987432701,1445.9786285785713,1683.208233479696
M4,partial,delta,4.0,100,100,1.0,23.465057049381258,19.465057049381258,41.96123562911911,0.47301942972378896,7.949015455916367,141.11127470865816
M4,partial,epsilon,2.0,100,100,1.0,-13.816187721467942,-15.816187721467942,27.26658500935905,-65.56549483639537,-13.246408942231522,23.35225280140711
M4,partial,zeta,1.0,100,100,1.0,4.757205467940331,3.7572054679403304,73.86248097752363,-137.0797333510738,0.49069127757065434,178.00417221623258
