rep,attempt,seed,success,error,nll_m3,nll_m4,contrast,gain_per_transition,convergence_m3,convergence_m4,nested_violation,boundary_equivalent,q_min_m4,q_min_observed_m4,q_min_protected_m4,augmented_eigenvalue_min_m4,tail_margin_m4,position_term_norm_m4,boot_x_mean,boot_x_sd,boot_v_mean,boot_v_sd,m3_eta,m3_a,m3_b,m3_c,m3_d,m3_alpha,m3_beta,m3_gamma,m3_delta,m3_epsilon,m3_zeta,m4_eta,m4_a,m4_b,m4_c,m4_d,m4_alpha,m4_beta,m4_gamma,m4_delta,m4_epsilon,m4_zeta,time_sec
0,1,20260612,True,,8122.619803087435,8122.555283000258,0.1290401743535767,2.5818362215601587e-05,0,0,False,False,0.0002744550511124,4000.020805528098,3821.714565612337,5.628915719272246e-09,92.1807333753316,57.214074762446515,0.0660220315687164,0.8181415716387663,-0.0443397709813122,6.258356745318434,71.51828849257625,-69.80962905177144,-39.27953668235114,23.39044060639317,17.786011169254795,50.76018293011821,264.7407396924902,4443.7537961863,0.0,0.0,0.0,71.57102299404659,-69.518678000627,-39.38530786371871,23.45127914184527,17.93203499888209,50.961312612761574,265.57128927967244,4444.1159844207905,0.3599790677165236,-7.495408934714198,-56.71983436942523,29.82213825
1,1,20260613,True,,7964.5089888696975,7959.188252482356,10.64147277468328,0.002129146213422,0,0,False,False,1.0030817065853626e-08,3283.9392928049683,1610.861588624443,7.484801157709742e-12,102.47012249528365,273.4784753457767,-0.2053080255293441,0.8167619353635025,-0.0128001208263429,5.91244347428367,67.72420517158737,-76.84852187767693,-11.832414202639772,34.52976844604848,-9.99456510834471,31.713962543303897,190.0850112529963,4593.884598737231,0.0,0.0,0.0,67.78556121122736,-77.22525485277943,-13.38693091986262,37.68166600980141,-8.91507351445488,33.10099992717107,176.44824435902282,4502.44199253337,132.66975162832983,-123.88660242951424,204.5515172732761,67.610146
2,1,20260614,True,,8036.758235873334,8021.53541159511,30.44564855644785,0.0060915663378247,0,0,False,False,3273.5713196513825,3273.5713196513825,3273.5713196513825,53.70253895514919,86.47529452151483,764.2451502446066,-0.3480365672090776,0.8117989674664929,-0.0477419731438057,6.052439996724651,74.51386448502768,-87.09109366051534,10.032098850067444,59.16949921441382,-26.99212662712914,66.84964886676028,-0.3802604441944319,3650.089382990535,0.0,0.0,0.0,74.23261051934554,-78.77876966614717,20.871546423235063,54.57789707336254,-30.760415375443262,61.989926517176265,-82.33266020734428,3308.055995056284,748.9956019083165,-146.44683993501732,-40.36782217865402,63.144466959
3,1,20260615,True,,8025.242806937451,8018.89918693813,12.687239998642326,0.0025384633850824,0,0,False,False,1.1300713254058792e-08,3481.8218241353,2865.179106455824,1.9230340916818945e-12,86.42889513949409,152.15395760029193,-0.1445973428000753,0.8527152523547888,-0.0337659260685626,6.0398513069626265,69.41355168327992,-100.6569278738016,11.897271733949989,77.62560359976746,-17.715810323303558,50.5643815429118,147.2862860660248,3964.6355223739697,0.0,0.0,0.0,69.51093731262333,-99.9054267783813,10.928951189544328,82.57738439452281,-16.85277217668982,52.592979485752565,126.69615157025022,3831.3299752315033,80.70898863402932,-128.97750832725237,1.2993509137664527,91.43355524999998
4,1,20260616,True,,7977.895501393965,7675.367325314496,605.0563521589374,0.1210596943095112,0,0,False,False,9.9980752565898e-09,1.7870135043076516,9.999894245993346e-09,2.0231936053768152e-11,114.09927873304866,5830.3828128758905,0.1667212617129369,0.7603135740105155,-0.0166250640743247,6.0558661161265235,63.38554968973455,-2.6642050704618443,-22.481675418812088,-87.59284638477082,-2.445752153369329,19.07079548059856,396.14618459295895,5488.6621036549805,0.0,0.0,0.0,69.94394472458207,-0.058980780412675,-86.04268880197075,26.9845839075202,-50.090043082427485,25.78861071611547,836.6831155801702,7402.083850549433,2500.0,-412.79410365203415,-5250.996550433898,91.528509166
5,1,20260617,True,,8078.222923985225,8068.36633688472,19.71317420100968,0.0039442125252120205,0,0,False,False,1.0009898687712848e-08,3979.7730933510134,2260.7667586352877,4.651649898267731e-12,108.41549425785112,520.0668426560103,-0.2922235561858826,0.7521127837984038,-0.04802747287074937,5.963907240217065,74.19829728147907,-74.58826135727041,0.5536958806518866,21.085698115943416,-22.86526575003433,44.39725213679042,132.21778781627538,4843.03644418361,0.0,0.0,0.0,74.95094867884166,-75.20426550075081,1.4094665074598693,24.66351058589325,-23.23755388431954,41.48640309983219,76.49849024970469,5049.698149212718,263.1097069186467,-202.0225969810791,400.5367314796431,64.07702825
6,1,20260618,True,,8063.888209074963,8061.4009876523905,4.974442845144949,0.000995286683702471,0,0,False,False,0.0002762768963293638,4139.989225097555,3159.6713107182,2.3473447980214243e-07,102.36062009286081,307.28456729458503,-0.05238174621243902,0.893681036677483,-0.042931993648990724,5.9413185563268085,77.6098878486389,-130.65030877053044,2.160775236568924,119.18328782260713,-11.143115857351047,52.065872541862234,65.25932931980687,4758.514799506487,0.0,0.0,0.0,77.52153588043912,-129.38144003095053,3.183038335315593,118.68309524408991,-11.28115107270639,52.68245166801743,61.755235092334644,4703.199037584685,9.758588737844125,-33.76397308667456,-305.2680287299479,60.509442207999996
7,1,20260619,True,,8206.641452937145,8197.780657496907,17.72159088047556,0.0035457364706833853,0,0,False,False,0.0002952248628389498,2840.54693041979,1538.9314371830085,3.8042047317651577e-07,74.4173514531502,240.92360508351607,-0.1474705468637492,0.8706480176640699,-0.025326450400847016,6.485897175973848,69.74378642047985,-79.43758154212989,5.085198526702508,52.36974981055022,-13.551764140930901,69.9029597170086,183.23670248129903,3457.4540114029382,0.0,0.0,0.0,69.24482033057187,-76.4631399466155,6.061396330282422,54.66318113340895,-14.112847421677657,64.07228920799353,194.57569079859573,3690.2062026278877,83.26600156657642,-136.47298540507038,180.23895451366874,71.598060708
8,1,20260620,True,,8112.918405581982,8098.77784737072,28.281116422524065,0.005658486679176483,0,0,False,False,9.994437277782708e-09,2757.9431632245105,969.3487219229288,1.0591188007698775e-11,90.89482914404371,313.0482041970443,0.05057783871122225,0.862216946141467,-0.034963645264994646,6.267063541462212,65.17348068578958,-89.50927959230974,5.331340048387174,57.84399148667443,-3.3889640140112234,42.93734163838697,202.69117468506184,4198.70769269597,0.0,0.0,0.0,64.74905943263036,-85.62406083503483,1.664401454317669,59.7288771082631,-2.423527293103098,38.60328972121701,242.8687813033456,4233.974942144825,229.6666356582201,-175.8577247154716,119.69325492410242,66.51793870899999
9,1,20260621,True,,8099.588691817409,8097.524704729205,4.1279741764083155,0.0008259252053638087,0,0,False,False,0.02093566275584635,3528.0010066030736,2595.184533782075,9.756665591607633e-06,95.31349409249229,102.05704808187494,-0.02638208900431473,0.8594229575741258,-0.026241488296396484,6.228127635786757,67.02608312317618,-122.98707236690963,3.566440074548346,89.13362238496224,-9.094328193303838,38.18342599622532,309.0158166364279,4626.860236725161,0.0,0.0,0.0,66.86965568700569,-124.31588828875098,2.862344367366332,93.01994717566082,-8.849132103340159,38.42581728151909,312.1454909820528,4582.147595783075,42.018133568106,-76.27336638052502,-53.22115270849675,79.00723545799997
