model,q_min_global,q_min_x,q_min_v,q_min_x_z,q_min_v_z,q_min_standardized_distance,q_min_observed_rectangle,q_min_observed_x,q_min_observed_v,q_min_protected_rectangle,q_min_protected_x,q_min_protected_v,q_path_min,q_path_q01,q_path_median,q_path_q99,nearest_observation_index,nearest_observation_x,nearest_observation_v,nearest_standardized_distance,q_at_nearest_observation,quadratic_eigenvalue_min,quadratic_eigenvalue_max,augmented_eigenvalue_min
M2,4176.668090406608,-0.0,-1.8136013194439045,-0.0008535102718438186,-0.23595324592848366,0.23595478961862934,4176.668090406608,-2.071577323585376,-1.8136013194439045,4176.668090406608,-5.9034122413843555,-1.8136013194439045,4176.669364337429,4177.058351222517,5095.85745308625,62675.58155377208,2463,0.03192968274006702,-2.4819731494387653,0.09582665910894961,4205.378619490365,0.0,64.2695,0.0
M3,4167.946212007429,-0.0,-1.7702089056140624,-0.0008535102718438186,-0.23008687600167102,0.230088459049976,4167.946212007429,-2.071577323585376,-1.7702089056140624,4167.946212007429,-5.9034122413843555,-1.7702089056140624,4167.946482099226,4168.266440119289,5087.555997626649,63008.87306598897,2463,0.03192968274006702,-2.4819731494387653,0.10137715367355608,4200.603912353718,0.0,64.4634086056727,0.0
M4,0.00027564131596591324,172.884349608697,325.83020794977347,172.7483278656317,44.0593421700045,178.27846312111095,3867.0320665349423,1.7602575942136038,1.6250468072392001,3695.7887795595366,5.5920925120125835,8.884694717549007,3869.1803284115604,3893.174598446527,4994.935306537982,59797.93757176286,39,1.5053852281334974,8.954023091588214,176.5221535834394,7753.491547158643,0.02876398084421083,291.5163792428171,2.0261176506655612e-09
