model,observation,n_traj,n_success,success_rate,median_nll,median_q_relative_rmse,median_time_sec
M3,complete,100,100,1.0,-4104.456326606885,0.09617354082812016,0.8130762079999911
M3,partial,100,100,1.0,6942.948289772337,0.19676489870143704,3.283372312499978
M4,complete,100,100,1.0,-4095.1786064258354,0.11900517662427855,6.629940229000056
M4,partial,100,100,1.0,6947.860609684354,0.215865262348736,28.06436993750009
