model,parameter,full_value,median_shift,q95_abs_shift,max_abs_shift,q95_abs_relative_shift,max_abs_relative_shift
M2,eta,67.8733362018909,-0.010732044218528358,0.09772631359652156,0.4241442371581883,0.001439833652877063,0.006249055385999605
M2,a,-96.63848189905455,0.0,0.20617785466930627,3.758099221366294,0.0021334964148616593,0.038888227003523124
M2,c,65.42283620189089,-0.00018189905455301414,0.13877179123793568,4.539699381157277,0.002121152173985463,0.06939013415969986
M2,alpha,64.2695,0.004729375418335735,0.10610263934613043,1.581152072200247,0.001650901895084456,0.02460190404780257
M2,beta,233.1185,0.0,0.04187701790764606,37.73046729009425,0.00017963832946611295,0.16185102121922648
M2,gamma,4388.0601,0.0,0.010745192143622262,87.39414711290829,2.44873404163773e-06,0.01991635144489208
M3,eta,67.88621899054552,-0.011199234898327859,0.10948696188986116,0.4210297573553987,0.0016128010002311273,0.006201991561999283
M3,a,-97.82721810094544,0.0003637981091060283,0.25876211716102226,4.666286610674618,0.002645093279602535,0.047699267149348905
M3,b,8.4228,0.0,0.2866680529056937,2.70254368540804,0.03403476906796952,0.3208604840917557
M3,c,66.2782,0.0,0.22880404912160204,5.978500161878571,0.0034521765696956474,0.0902031159850233
M3,d,-9.1246,0.0,0.27911481448888026,2.964271264851325,0.030589265774815366,0.32486588615953854
M3,alpha,64.4634086056727,0.005158105322792039,0.14171809735768323,3.1327529089127992,0.002198426990179545,0.048597382246354265
M3,beta,228.2274,0.0,0.09077890073242822,36.723174565015825,0.0003977563637513648,0.16090607247427707
M3,gamma,4369.9513,0.0001705175618553767,0.02226452010690988,168.67957185098658,5.094912638250655e-06,0.038599874522854884
M4,eta,67.26743274284824,-0.004832213185906653,0.13005922751784166,0.4749286084206119,0.0019334650099556434,0.007060305248100991
M4,a,-93.53609846452392,0.0009571043932936618,0.6008038046310716,3.844981616981471,0.006423229261149294,0.041106927486822466
M4,b,13.18316033801224,-0.0013768853893481037,0.7092953989577563,3.1335634561137162,0.05380313830459746,0.23769440526930555
M4,c,68.07460347945783,-0.004396384855226643,0.9688662101829889,3.975868398374743,0.014232417974720244,0.05840457667262799
M4,d,-12.467355440448802,0.0003042567393869433,0.7502833074491538,3.193534796593008,0.06017982811454559,0.2561517405874206
M4,alpha,63.49748485957926,-0.01234978139395082,0.2153305182119231,1.919013475010523,0.003391166101903298,0.030221881689555138
M4,beta,217.1448787821305,0.059768937294393254,1.7919804582357184,23.537068541892438,0.008252464752040866,0.10839338543879753
M4,gamma,4132.6419646903105,1.0191847235573732,10.38551630433785,116.93782371694033,0.0025130452608942895,0.02829614196343848
M4,delta,228.04765836408205,0.013954050170241317,2.0632038849176007,66.09996901608517,0.009047248718615035,0.2898515577413008
M4,epsilon,-240.59981348860177,-0.019382680913111017,1.1711704121052253,40.92299928473088,0.004867711221898801,0.17008741067319894
M4,zeta,-457.05493045352864,-0.12190543043305979,6.537693141203964,91.83655638369544,0.014303954963830521,0.20093111410606035
