metric,observed,q025,q50,q975,observed_percentile
q_min_global,0.00027564131596591324,0.0002722095227909449,0.00027653171855490655,4801.338213361409,0.4334677419354839
q_min_observed,3867.0320665349423,2190.321285184952,3694.2529221826935,4883.729504050632,0.6189516129032258
q_min_protected,3695.7887795595366,463.52975208179237,3458.5756052418915,4833.125853832217,0.6149193548387096
q_path_min,3869.1803284115604,2284.6024773740514,3718.5156620466823,4896.910762372782,0.6169354838709677
q_path_median,4994.935306537982,4203.417805183343,5050.464084782831,6478.521362277412,0.45161290322580644
