k,age_ka,X,Vhat,q_observed_fit,q_boot_q025,q_boot_q50,q_boot_q975,q_ratio_q025,q_ratio_q50,q_ratio_q975
0,80.0,1.279574187805549,-8.65632026010048,9464.4820669693,6641.165099444338,9583.172694706322,15225.2454264716,0.7016934526847236,1.012540636338807,1.60867180250752
1,79.98,1.1064477826035395,5.426832793421421,5509.875817219595,3070.833807774514,4569.7869646001445,6319.463603922267,0.5573326713058524,0.8293811178681265,1.146933944349985
2,79.96,1.214984438471968,0.5563339732378436,3891.7960429816035,2869.3068112675383,4001.2736293014786,5767.091241626567,0.7372706019479093,1.0281303503859882,1.4818585501228512
3,79.94,1.2261111179367248,-0.6944556080333619,3999.7681629056656,3005.586660427908,4233.331102591239,6197.7892592640055,0.7514402180361559,1.0583941194021353,1.5495371248621492
4,79.92,1.2122220057760575,-0.3436439643881073,3946.807190593278,2969.432567707199,4139.982045133327,5962.669997438703,0.7523632202719379,1.0489445886792894,1.5107578631279435
5,79.9,1.2053491264882954,-11.172395949635616,12653.006403773867,8235.6852533208,12514.800548693576,18898.159594159526,0.6508876223175258,0.989077231871228,1.49357069704185
6,79.88,0.9819012074955831,-3.2972508931348843,4657.041453576291,3648.550704935028,4929.886843534597,7322.168689142214,0.7834481915837768,1.058587709102048,1.5722790449973956
7,79.86,0.9159561896328854,4.548317577417871,5204.20153328653,3139.3821222380466,4477.477193988868,6077.774869844425,0.6032399210826642,0.8603581481905591,1.1678592442991385
8,79.84,1.0069225411812428,6.275217804742739,6246.42911156334,3395.643701057566,5017.228096633331,6988.126409813879,0.5436135815215732,0.8032154062783612,1.1187394085490405
9,79.82,1.1324268972760976,7.735842555459516,7279.481135852539,3579.963522692528,5570.704391123023,8116.718764666005,0.49178828214289466,0.7652611892469183,1.1150133660886823
10,79.8,1.287143748385288,2.341734690019903,4053.6565063905614,2785.59500619456,3878.525731728245,5487.908212630801,0.6871808210200072,0.9567968390054205,1.353816783434697
11,79.78,1.333978442185686,2.1938774721666388,4006.624035189477,2746.0746467658537,3879.6303654550493,5560.798564557794,0.6853836603203998,0.9683040713031558,1.387901264435663
12,79.76,1.3778559916290187,-0.7806349683856961,4063.8053201727826,3086.9171430033034,4361.828529534385,6646.572700050736,0.7596124567483108,1.0733359956694313,1.6355539147156144
13,79.74,1.3622432922613048,3.867286525210556,4455.110999022338,2762.857772917562,3992.997786178021,5597.535542719385,0.6201546434025693,0.8962734681704394,1.2564300965672348
14,79.72,1.439589022765516,3.1359482124265314,4166.4984437833955,2696.597569571267,3891.1708896848495,5518.948946387152,0.6472095468065547,0.9339187190842835,1.3246012259098943
15,79.7,1.5023079870140466,-7.44642147187784,8556.170552816468,6063.12120256132,8860.535789605394,14991.764384999255,0.7086255662079457,1.0355726004887473,1.752158198864369
16,79.68,1.3533795575764898,-0.10578283212272499,3943.9591640151457,2932.953324241259,4176.9230448438175,6157.76143843408,0.7436571227718715,1.059068532695329,1.5613147049334999
17,79.66,1.3512639009340353,2.1409998591464197,3991.3389180407626,2725.2938763234724,3884.0523071289126,5577.167877063693,0.6828019199284744,0.9731201451154858,1.3973175396995274
18,79.64,1.3940838981169636,-6.916114382179095,7793.903881597648,5627.581031774927,8064.404159668009,13536.975326480657,0.7220490677415625,1.0347066479366065,1.7368671120570394
19,79.62,1.2557616104733818,-0.3429861100457954,3954.927357895925,2983.163911214582,4167.146905719084,6063.241397022202,0.7542904436054334,1.0536595311667276,1.5330854016615691
20,79.6,1.2489018882724658,-1.933511879483496,4316.047412694405,3338.2817287201674,4634.862979831836,7091.252045148811,0.7734580762253858,1.0738674849121739,1.6429967901399658
21,79.58,1.210231650682796,3.148472292832971,4309.852579314436,2804.9487438382307,3973.465106221406,5458.032597902077,0.6508224335330771,0.921949192715418,1.2664081885534657
22,79.56,1.2732010965394553,10.411422951577887,9874.81253985673,4297.803911121127,7080.102331941393,11233.949088821317,0.435228911310906,0.7169859988090586,1.1376366937072313
23,79.54,1.481429555571013,-6.278803070423966,7333.86739406416,5284.1369189588695,7734.271857652006,13216.32416369433,0.7205116529971228,1.0545966325914105,1.8020947821324498
24,79.52,1.3558534941625338,-2.6530508127488694,4668.486456675031,3563.480164279139,5066.692926528791,8287.8708820931,0.7633052376502137,1.0852966959525827,1.7752800525410224
25,79.5,1.3027924779075564,1.421009448138566,3915.6179175858824,2763.642256844711,3917.5651941468345,5734.904883736065,0.7057997779692955,1.0004973101568992,1.4646232100377756
26,79.48,1.3312126668703277,2.4861379201564837,4064.3727456298657,2775.0838977245653,3884.779650485738,5509.7635590026475,0.6827828231818595,0.9558128384417419,1.3556245708336936
27,79.46,1.3809354252734574,-2.1136160548950844,4463.322448509558,3426.007363280508,4869.937448775363,7871.6038120147105,0.7675912737213414,1.0911014171520559,1.7636197928391402
28,79.44,1.3386631041755557,-10.594017951774948,12167.698798031986,8117.170091117949,12167.698798032057,19106.73819961379,0.6671080724344383,1.0000000000000058,1.5702836269010971
29,79.42,1.1267827451400567,-7.04893088502434,7442.557387481834,5513.0425184083015,7593.448428656451,11962.520833807137,0.7407457183576549,1.0202740850112102,1.607313213859493
30,79.4,0.9858041274395699,-6.236227401625949,6498.115572161264,4898.237632392301,6679.529893037088,10325.893661332328,0.7537935541462144,1.0279179892787726,1.5890597122602346
31,79.38,0.8610795794070509,0.43881315295080103,3924.770608513497,2898.694455014057,3928.4609702725675,5555.5258622953925,0.7385640446670423,1.000940274509564,1.4155033290976315
32,79.36,0.869855842466067,5.889151782819169,6156.124148840116,3508.588331610596,5022.217335560314,6837.059513547539,0.5699346287991373,0.8158083258451759,1.110611051408981
33,79.34,0.9876388781224503,-1.2752247384392401,4033.0585789116435,3132.7444896949446,4236.743334921879,6063.212220923715,0.776766423893685,1.0505037930952148,1.503378168774312
34,79.32,0.9621343833536655,-1.290052122147034,4028.1778280278613,3124.777431377779,4219.816391975601,6026.728044745167,0.7757297628808075,1.0475745044358091,1.4961424996710653
35,79.3,0.9363333409107248,4.151132072351671,4965.0255985013755,3084.544532127707,4348.835797010697,5874.264848488758,0.6212545073400496,0.875893932616044,1.1831288141317586
36,79.28,1.0193559823577583,5.160722831906295,5449.7557514437385,3126.933391981494,4573.712837350374,6259.960409816406,0.5737749606765611,0.83925097673207,1.1486680679511243
37,79.26,1.1225704389958842,5.9128017635518,5813.83757008703,3153.6540794462235,4729.568340249498,6599.755660500901,0.5424393167900311,0.8135019740805552,1.1351806067746928
