traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
0,20260621,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.733254900429877,-95.96926200227112,30.186338212078237,114.95748934563682,-13.072701673767462,20.445679860929324,-14.1994668464938,1246.481657882424,0.0,0.0,0.0,-4105.731645251544,54.3994275644966,0.028344903787367,1244.016286856866,0.5610822499999999
0,20260621,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,36.745111284897774,-158.72620081834768,57.95323204994829,193.43343105494364,-35.48230821276267,18.32930856657149,6.1120329650763265,1494.961429164595,0.0,0.0,0.0,6943.880708863781,222.51156807829048,0.1159399881786913,1494.4519181743428,2.725947917
1,20260622,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,29.13065818708999,-99.38784028855233,20.775745235180196,122.18690470077613,-2.6182003691476763,19.97601946380156,22.15507749226909,1262.8168637760762,0.0,0.0,0.0,-4176.8032746296485,171.94493193767838,0.0895174451997107,1256.673939901402,0.7415942500000003
1,20260622,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,40.706041068396665,-135.59317624094373,43.21924525226242,159.33129907391992,-21.03307307079272,32.105395263644674,5.808229919121343,1249.1594329814188,0.0,0.0,0.0,6923.827556594844,1101.903184423489,0.5736694697274846,1248.8967393247142,2.434492541999999
2,20260623,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.859303322340416,-78.16816149687604,14.951134923708642,87.74947753365942,-0.4427044707861611,20.31229412295972,11.53130490797857,1260.6953707308242,0.0,0.0,0.0,-4132.415430967447,116.9218236688812,0.0599779453740308,1259.058814236815,0.954772125
2,20260623,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,34.97712560561413,-110.26905421692618,27.138187222769893,126.53096458067924,-10.357776524403157,18.386800603468892,15.13577170832364,1415.507362998757,0.0,0.0,0.0,6961.216091881648,213.6290840060875,0.1095863298121953,1412.3924763756504,2.2613925000000012
3,20260624,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.21742368296758,-77.64677358043271,22.882814151870505,94.35479802021898,-12.859704230791548,17.56856174809587,-10.666700154026763,1351.5955656113304,0.0,0.0,0.0,-3924.420351923318,178.3629669751449,0.0913105007540739,1349.976502362876,0.8050497080000003
3,20260624,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,38.1296773612145,-129.28242258915353,49.891471572950294,159.3782307936593,-35.564025204277264,22.27390051889819,-33.05311101001505,1527.9978278645433,0.0,0.0,0.0,7043.168031642625,400.12854875924415,0.2048403812339519,1515.7356412841052,2.078167125
4,20260625,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,29.2232729399015,-76.2464269657437,25.156047821739204,86.3645578297568,-13.526673550834756,17.97034019618366,2.47677204683791,1376.1771988134444,0.0,0.0,0.0,-4021.6702618915674,151.38006686703622,0.0798495832079622,1376.0918582876045,0.7241222499999971
4,20260625,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,37.20730783204043,-126.63231299327155,54.19106839478901,146.07957438224528,-34.647733958264816,17.666693497270437,-32.43931942449277,1496.2762524859852,0.0,0.0,0.0,6908.832055602119,246.17051042598283,0.1298494118969528,1481.3851933977635,2.5481862500000005
5,20260626,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,25.822606166098264,-88.54246769073217,23.628137203413157,101.759475569146,-8.677835741841934,17.637717033827073,-17.632312079131527,1380.1788202774396,0.0,0.0,0.0,-3737.236673504447,239.6091608540247,0.1175048386879794,1375.7721115978943,0.7228446250000005
5,20260626,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,35.83169169302192,-129.4835285978584,46.15983180873867,149.3904955448917,-26.27610213209723,20.635707430660055,-2.7333002477005004,1473.2199442081153,0.0,0.0,0.0,7067.321935667103,227.30481578148445,0.1114707618698943,1473.1295497546605,2.4512227919999994
6,20260627,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.081948951679333,-86.49541156603061,18.414262769354977,102.42925077424644,7.495903898836271,18.140314798774416,-8.610680369836077,1277.7050974464669,0.0,0.0,0.0,-4173.030400242249,185.1591622042552,0.0940057430364393,1276.683457146122,0.6654867499999995
6,20260627,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,36.827403735051895,-116.8400991564598,39.658914181305306,137.61184898651612,-5.395224098156633,24.15790383516576,-7.504741989638991,1291.3130231135203,0.0,0.0,0.0,6919.454000644151,415.0890120319361,0.2107416696953866,1290.7302099327171,2.609611333
7,20260628,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,24.797964862379565,-95.6509842301104,11.726831079115032,116.70442000073696,1.965524153261708,20.79344157570753,0.2023133382577699,1220.5407844893953,0.0,0.0,0.0,-3856.533527260744,101.6775020315448,0.0503386362331424,1220.5407844893953,0.6123644999999982
7,20260628,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,36.92872055439538,-133.67855903997838,36.64757935429991,156.92688931702506,-20.49065970306024,23.985948541960532,-27.53560798410503,1404.3968104294686,0.0,0.0,0.0,7044.394565594097,523.2270188648811,0.2590399453540811,1396.4941698851285,2.6250207499999973
8,20260629,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,25.92187405852818,-94.4801197817353,14.085317869753338,107.01798063911517,4.8623529430110315,18.332280994609626,9.5982391836887,1348.7247066917737,0.0,0.0,0.0,-3799.3280830202593,218.8319990402869,0.1080640521042721,1347.4707779939652,0.7004662909999979
