model,source,rep,barrier,lower_occupancy,upper_occupancy,n_switches,lower_wait_mean,upper_wait_mean,lower_wait_median,upper_wait_median
M4,simulated,17,0.139189375631117,0.4792,0.5208,59,798.6666666666666,868.0,110.0,380.0
M4,simulated,18,0.139189375631117,0.5076,0.4924,70,725.1428571428571,683.8888888888889,140.0,270.0
M4,simulated,19,0.139189375631117,0.6728,0.3272,79,841.0,409.0,170.0,240.0
M4,simulated,20,0.139189375631117,0.3504,0.6496,67,515.2941176470588,955.2941176470588,80.0,280.0
M4,simulated,21,0.139189375631117,0.5588,0.4412,47,1164.1666666666667,919.1666666666666,430.0,280.0
M4,simulated,22,0.139189375631117,0.4204,0.5796,45,913.9130434782609,1260.0,120.0,480.0
M4,simulated,23,0.139189375631117,0.6112,0.3888,71,848.8888888888889,540.0,240.0,220.0
M4,simulated,24,0.139189375631117,0.5916,0.4084,55,1056.4285714285713,729.2857142857143,210.0,510.0
M4,simulated,25,0.139189375631117,0.4756,0.5244,87,540.4545454545455,595.9090909090909,130.0,210.0
M4,simulated,26,0.139189375631117,0.528,0.472,67,776.4705882352941,694.1176470588235,260.0,250.0
M4,simulated,27,0.139189375631117,0.4424,0.5576,67,650.5882352941177,820.0,160.0,170.0
M4,simulated,28,0.139189375631117,0.5984,0.4016,70,854.8571428571429,557.7777777777778,280.0,160.0
M4,simulated,29,0.139189375631117,0.7896,0.2104,41,1880.0,500.95238095238096,1140.0000000000002,180.0
M4,simulated,30,0.139189375631117,0.4364,0.5636,59,727.3333333333334,939.3333333333334,160.0,150.0
M4,simulated,31,0.139189375631117,0.4264,0.5736,71,592.2222222222222,796.6666666666666,100.0,130.0
M4,simulated,32,0.139189375631117,0.4244,0.5756,72,589.4444444444445,777.8378378378378,180.0,160.0
M4,simulated,33,0.139189375631117,0.5572,0.4428,62,898.7096774193549,691.875,380.0,130.0
M4,simulated,34,0.139189375631117,0.7056,0.2944,64,1102.5,446.06060606060606,340.0,220.0
M4,simulated,35,0.139189375631117,0.624,0.376,55,1114.2857142857142,671.4285714285714,220.0,280.0
M4,simulated,36,0.139189375631117,0.446,0.554,48,929.1666666666666,1108.0,260.0,560.0
M4,simulated,37,0.139189375631117,0.4112,0.5888,54,761.4814814814815,1051.4285714285713,200.0,350.0
M4,simulated,38,0.139189375631117,0.4372,0.5628,91,475.2173913043478,611.7391304347826,80.0,200.0
M4,simulated,39,0.139189375631117,0.6088,0.3912,57,1049.655172413793,674.4827586206897,160.0,140.0
M4,simulated,40,0.139189375631117,0.6524,0.3476,57,1124.8275862068965,599.3103448275862,340.0,100.0
M4,simulated,41,0.139189375631117,0.6852,0.3148,37,1803.157894736842,828.421052631579,360.0,340.0
M4,simulated,42,0.139189375631117,0.5572,0.4428,29,1857.3333333333333,1476.0,440.0,280.0
M4,simulated,43,0.139189375631117,0.6708,0.3292,56,1197.857142857143,567.5862068965517,220.0,120.0
M4,simulated,44,0.139189375631117,0.5456,0.4544,57,940.6896551724138,783.448275862069,140.0,420.0
M4,simulated,45,0.139189375631117,0.4656,0.5344,63,727.5,835.0,200.0,350.0
M4,simulated,46,0.139189375631117,0.3824,0.6176,63,597.5,965.0,340.0,440.0
M4,simulated,47,0.139189375631117,0.6216,0.3784,53,1151.111111111111,700.7407407407408,200.0,620.0
M4,simulated,48,0.139189375631117,0.4412,0.5588,65,668.4848484848485,846.6666666666666,80.0,320.0
M4,simulated,49,0.139189375631117,0.6048,0.3952,59,1008.0,658.6666666666666,310.0,440.0
M4,simulated,50,0.139189375631117,0.5804,0.4196,68,853.5294117647059,599.4285714285714,160.0,180.0
M4,simulated,51,0.139189375631117,0.6424,0.3576,70,917.7142857142857,496.6666666666667,240.0,210.0
M4,simulated,52,0.139189375631117,0.5792,0.4208,59,965.3333333333334,701.3333333333334,250.0,170.0
M4,simulated,53,0.139189375631117,0.7052,0.2948,55,1259.2857142857142,526.4285714285714,150.0,160.0
M4,simulated,54,0.139189375631117,0.6552,0.3448,53,1213.3333333333333,638.5185185185185,760.0,400.0
M4,simulated,55,0.139189375631117,0.6144,0.3856,60,1024.0,621.9354838709677,250.0,120.0
M4,simulated,56,0.139189375631117,0.5436,0.4564,57,937.2413793103449,786.8965517241379,480.0,420.0
M4,simulated,57,0.139189375631117,0.564,0.436,58,972.4137931034483,726.6666666666666,120.0,220.0
M4,simulated,58,0.139189375631117,0.5568,0.4432,61,898.0645161290323,714.8387096774194,160.0,180.0
M4,simulated,59,0.139189375631117,0.5368,0.4632,74,725.4054054054054,609.4736842105264,140.0,320.0
M4,simulated,60,0.139189375631117,0.662,0.338,41,1576.1904761904761,804.7619047619048,280.0,280.0
M4,simulated,61,0.139189375631117,0.7708,0.2292,44,1751.8181818181818,498.2608695652174,280.0,180.0
M4,simulated,62,0.139189375631117,0.6316,0.3684,81,770.2439024390244,449.2682926829268,140.0,180.0
