model,source,rep,event,barrier,regime,waiting_time_years
M2,simulated,0,22,0.139189375631117,upper,3560.0
M2,simulated,0,23,0.139189375631117,upper,160.0
M2,simulated,0,24,0.139189375631117,upper,20.0
M2,simulated,0,25,0.139189375631117,upper,160.0
M2,simulated,0,26,0.139189375631117,upper,300.0
M2,simulated,0,27,0.139189375631117,upper,1360.0
M2,simulated,0,28,0.139189375631117,upper,1180.0
M2,simulated,0,29,0.139189375631117,upper,20.0
M2,simulated,0,30,0.139189375631117,upper,120.0
M2,simulated,0,31,0.139189375631117,upper,2000.0
M2,simulated,0,32,0.139189375631117,upper,140.0
M2,simulated,0,33,0.139189375631117,upper,600.0
M2,simulated,0,34,0.139189375631117,upper,240.0
M2,simulated,0,35,0.139189375631117,upper,40.0
M2,simulated,1,0,0.139189375631117,lower,40.0
M2,simulated,1,1,0.139189375631117,lower,40.0
M2,simulated,1,2,0.139189375631117,lower,60.0
M2,simulated,1,3,0.139189375631117,lower,160.0
M2,simulated,1,4,0.139189375631117,lower,300.0
M2,simulated,1,5,0.139189375631117,lower,120.0
M2,simulated,1,6,0.139189375631117,lower,120.0
M2,simulated,1,7,0.139189375631117,lower,380.0
M2,simulated,1,8,0.139189375631117,lower,1320.0
M2,simulated,1,9,0.139189375631117,lower,320.0
M2,simulated,1,10,0.139189375631117,lower,40.0
M2,simulated,1,11,0.139189375631117,lower,80.0
M2,simulated,1,12,0.139189375631117,lower,1080.0
M2,simulated,1,13,0.139189375631117,lower,80.0
M2,simulated,1,14,0.139189375631117,lower,1940.0
M2,simulated,1,15,0.139189375631117,lower,1560.0
M2,simulated,1,16,0.139189375631117,lower,220.0
M2,simulated,1,17,0.139189375631117,lower,40.0
M2,simulated,1,18,0.139189375631117,lower,200.0
M2,simulated,1,19,0.139189375631117,lower,5480.0
M2,simulated,1,20,0.139189375631117,lower,20.0
M2,simulated,1,21,0.139189375631117,lower,100.0
M2,simulated,1,22,0.139189375631117,lower,3760.0000000000005
M2,simulated,1,23,0.139189375631117,lower,20.0
M2,simulated,1,24,0.139189375631117,lower,60.0
M2,simulated,1,25,0.139189375631117,lower,620.0
M2,simulated,1,26,0.139189375631117,lower,100.0
M2,simulated,1,27,0.139189375631117,lower,1600.0
M2,simulated,1,28,0.139189375631117,lower,240.0
M2,simulated,1,29,0.139189375631117,lower,40.0
M2,simulated,1,30,0.139189375631117,lower,100.0
M2,simulated,1,31,0.139189375631117,lower,5800.0
M2,simulated,1,32,0.139189375631117,lower,200.0
M2,simulated,1,33,0.139189375631117,lower,240.0
M2,simulated,1,0,0.139189375631117,upper,1340.0
M2,simulated,1,1,0.139189375631117,upper,120.0
M2,simulated,1,2,0.139189375631117,upper,200.0
M2,simulated,1,3,0.139189375631117,upper,140.0
M2,simulated,1,4,0.139189375631117,upper,6620.0
M2,simulated,1,5,0.139189375631117,upper,160.0
M2,simulated,1,6,0.139189375631117,upper,1200.0
M2,simulated,1,7,0.139189375631117,upper,100.0
M2,simulated,1,8,0.139189375631117,upper,40.0
M2,simulated,1,9,0.139189375631117,upper,3680.0
M2,simulated,1,10,0.139189375631117,upper,20.0
M2,simulated,1,11,0.139189375631117,upper,500.0
M2,simulated,1,12,0.139189375631117,upper,360.0
M2,simulated,1,13,0.139189375631117,upper,160.0
M2,simulated,1,14,0.139189375631117,upper,1980.0
M2,simulated,1,15,0.139189375631117,upper,1160.0
M2,simulated,1,16,0.139189375631117,upper,20.0
M2,simulated,1,17,0.139189375631117,upper,280.0
M2,simulated,1,18,0.139189375631117,upper,80.0
M2,simulated,1,19,0.139189375631117,upper,100.0
M2,simulated,1,20,0.139189375631117,upper,40.0
M2,simulated,1,21,0.139189375631117,upper,60.0
M2,simulated,1,22,0.139189375631117,upper,1060.0
M2,simulated,1,23,0.139189375631117,upper,40.0
M2,simulated,1,24,0.139189375631117,upper,840.0
M2,simulated,1,25,0.139189375631117,upper,860.0
M2,simulated,1,26,0.139189375631117,upper,440.0
M2,simulated,1,27,0.139189375631117,upper,20.0
M2,simulated,1,28,0.139189375631117,upper,20.0
M2,simulated,1,29,0.139189375631117,upper,1660.0000000000002
M2,simulated,1,30,0.139189375631117,upper,20.0
M2,simulated,1,31,0.139189375631117,upper,60.0
M2,simulated,1,32,0.139189375631117,upper,80.0
M2,simulated,1,33,0.139189375631117,upper,60.0
M2,simulated,2,0,0.139189375631117,lower,20.0
M2,simulated,2,1,0.139189375631117,lower,140.0
M2,simulated,2,2,0.139189375631117,lower,60.0
M2,simulated,2,3,0.139189375631117,lower,440.0
M2,simulated,2,4,0.139189375631117,lower,60.0
M2,simulated,2,5,0.139189375631117,lower,3440.0
M2,simulated,2,6,0.139189375631117,lower,60.0
M2,simulated,2,7,0.139189375631117,lower,220.0
M2,simulated,2,8,0.139189375631117,lower,2220.0
M2,simulated,2,9,0.139189375631117,lower,380.0
M2,simulated,2,10,0.139189375631117,lower,60.0
M2,simulated,2,11,0.139189375631117,lower,280.0
M2,simulated,2,12,0.139189375631117,lower,20.0
M2,simulated,2,13,0.139189375631117,lower,20.0
M2,simulated,2,14,0.139189375631117,lower,20.0
M2,simulated,2,15,0.139189375631117,lower,20.0
M2,simulated,2,16,0.139189375631117,lower,2920.0
M2,simulated,2,17,0.139189375631117,lower,140.0
M2,simulated,2,18,0.139189375631117,lower,40.0
M2,simulated,2,19,0.139189375631117,lower,160.0
M2,simulated,2,20,0.139189375631117,lower,100.0
M2,simulated,2,21,0.139189375631117,lower,1740.0
M2,simulated,2,22,0.139189375631117,lower,80.0
M2,simulated,2,23,0.139189375631117,lower,60.0
M2,simulated,2,24,0.139189375631117,lower,60.0
M2,simulated,2,25,0.139189375631117,lower,20.0
M2,simulated,2,26,0.139189375631117,lower,200.0
M2,simulated,2,27,0.139189375631117,lower,60.0
