model,T_N,sampled_ios_sum,formal_T_N_complete,expected_n_transitions,n_transitions,n_valid,n_failed,success_rate,median_ios_contribution,max_ios_contribution,min_ios_contribution,total_seconds,asymptotic_reference,reference_applicable,m4_constraint_eigenvalue_min,T_N_over_reference,sampled_sum_over_reference,q95_ios_contribution,q99_ios_contribution,positive_ios_sum,negative_ios_sum,n_negative_contributions,top_1_positive_share,top_10_positive_share,fraction_transitions_for_80pct_positive,max_nit,median_nit,max_parameter_shift_relative,median_parameter_shift_relative,n_non_warm_selected,max_warm_start_excess_nll,median_seconds,max_seconds
M2,8.589257790420717,8.589257790420717,True,2499,2499,2499,0,1.0,0.0002006739999065,2.233397673378505,-5.308016361738055e-05,123.1121200869994,9.75,True,,0.8809495169662274,0.8809495169662274,0.006136294811562026,0.056919102162581066,8.589869151027635,-0.0006113606069169109,32,0.26000368970827875,0.5108525067963693,0.024009603841536616,30,1.0,0.1732486151796486,0.0002018309610493,0,0.0,0.0335804579999887,0.5263707500000123
M3,11.548767351276563,11.548767351276563,True,2499,2499,2499,0,1.0,0.000212510315392,2.248253542872078,-4.089555777397891e-05,182.1718291090002,11.75,True,,0.9828738171299203,0.9828738171299203,0.010546948595766192,0.08199738519281119,11.549105169250002,-0.0003378179734379039,24,0.19466906828921704,0.4464306617641408,0.034013605442176874,44,1.0,0.460818199914271,0.0003476022202538,0,0.0,0.0418542080000037,1.3678160409999975
M4,21.87649252571946,21.87649252571946,True,2499,2499,2499,0,1.0,0.0012268567515096,4.2143009899372785,0.0003585715653739,3793.855838860996,18.5,False,2.0261176506655612e-09,,1.1825131094983492,0.023284587713930667,0.12978851354814686,21.876492525719463,0.0,0,0.1926406157194836,0.36431849835169117,0.08643457382953182,109,41.0,0.4884829949281526,0.0126225444769658,0,0.0,1.393675708000046,3.599093708000055
