group,n,contrast_median,contrast_q95,q_min_observed_median,q_min_observed_below_10,delta_at_cholesky_bound,position_term_norm_median
all,100,15.315392562262787,78.84775772659057,3630.5784137231276,3,2,384.9488350746732
below_observed,87,12.687239998642326,40.11866957335333,3683.8380576094887,0,0,345.8092362510553
at_least_observed,13,77.19328801330084,577.020214819871,3117.9937782210236,3,2,1165.591190185343
