model,regime_switch,n_transitions,ios_sum,mean_ios,median_ios,max_ios
M2,False,2450,8.09604731970011,0.003304509110081678,0.00020019307113149998,2.233397673378505
M2,True,49,0.4932104707206071,0.010065519810624634,0.000336446096711,0.0914798800132299
M3,False,2450,10.852530769386423,0.004429604395667927,0.00021178102819849998,2.248253542872078
M3,True,49,0.6962365818901403,0.014208909834492658,0.0003273949938913,0.126593135312369
M4,False,2450,20.816955472142386,0.00849671651924179,0.0012143789739931,4.2143009899372785
M4,True,49,1.0595370535770727,0.0216232051750423,0.0030513204127471,0.1628780958446523
