transition,age_ka,x,vhat,nll_m3,nll_m4,gain_m4_over_m3,cumulative_gain,q_m3,q_m4,log10_q_ratio
0,80.0,1.279574187805549,-8.65632026010048,4.124095813392126,3.9283298843525087,0.19576592903961698,0.19576592903961698,7224.70626021486,9464.4820669693,0.11727665829579724
1,79.98,1.1064477826035395,5.426832793421421,2.6943249249950143,2.5653705212926354,0.12895440370237887,0.32472033274199585,7506.983767120396,5509.875817219595,-0.1343236660233322
2,79.96,1.214984438471968,0.5563339732378436,2.6225936892073314,2.559470351654232,0.06312333755309929,0.38784367029509514,4516.873864023857,3891.7960429816035,-0.06468789067936874
3,79.94,1.2261111179367248,-0.6944556080333619,2.6321204525731177,2.5824895452370433,0.04963090733607434,0.4374745776311695,4242.546179436542,3999.7681629056656,-0.02559175903562471
4,79.92,1.2122220057760575,-0.3436439643881073,4.893471915736889,5.081392138762903,-0.18792022302601374,0.24955435460515574,4299.13489110108,3946.807190593278,-0.03713516113870575
5,79.9,1.2053491264882954,-11.172395949635616,2.6852498935999405,2.7375384286872895,-0.052288535087348986,0.19726581951780675,9866.583809816686,12653.006403773867,0.10802691856994025
6,79.88,0.9819012074955831,-3.2972508931348843,3.365899856487854,3.322686168175453,0.04321368831240102,0.24047950783020777,4318.265677541474,4657.041453576291,0.032800745311103094
7,79.86,0.9159561896328854,4.548317577417871,3.2438575209840743,3.221699997834455,0.022157523149619163,0.26263703097982694,6741.5689564752765,5204.20153328653,-0.11240687476431718
8,79.84,1.0069225411812428,6.275217804742739,3.498778103352618,3.5350541485136553,-0.03627604516103711,0.22636098581878983,8340.591158020356,6246.42911156334,-0.12556501762937813
9,79.82,1.1324268972760976,7.735842555459516,2.7694291880622015,2.6200080065749423,0.14942118148725925,0.3757821673060491,9993.183057680188,7279.481135852539,-0.13760341806523757
10,79.8,1.287143748385288,2.341734690019903,2.8365686320191412,2.765211910976989,0.0713567210421524,0.4471388883482015,5257.8986904019885,4053.6565063905614,-0.11296526861085493
11,79.78,1.333978442185686,2.1938774721666388,2.628461070835771,2.563489814300458,0.06497125653531333,0.5121101448835148,5180.92297781681,4006.624035189477,-0.11162854392665357
12,79.76,1.3778559916290187,-0.7806349683856961,3.3884739050109656,3.3283661763192773,0.060107728691688234,0.572217873575203,4231.072428875949,4063.8053201727826,-0.017517565237832187
13,79.74,1.3622432922613048,3.867286525210556,2.9968599082936267,2.9362906575206464,0.060569250772980254,0.6327871243481833,6216.6806681748185,4455.110999022338,-0.14470003061707265
14,79.72,1.439589022765516,3.1359482124265314,3.350037586533971,3.4809137196857654,-0.13087613315179425,0.501910991196389,5719.604802841686,4166.4984437833955,-0.13759479822197015
15,79.7,1.5023079870140466,-7.44642147187784,2.947743508473474,2.9580751313834326,-0.010331622909958593,0.49157936828643045,6244.917856418979,8556.170552816468,0.1367527027311869
16,79.68,1.3533795575764898,-0.10578283212272499,2.9476550625093423,2.897928866454757,0.04972619605458517,0.5413055643410156,4346.530105290402,3943.9591640151457,-0.04221028243550694
17,79.66,1.3512639009340353,2.1409998591464197,3.315700370601026,3.410083886101179,-0.09438351550015289,0.44692204884086273,5154.078686275994,3991.3389180407626,-0.11103243779334317
18,79.64,1.3940838981169636,-6.916114382179095,2.81794268795085,2.833920293095054,-0.015977605144203988,0.43094444369665874,5874.959394034794,7793.903881597648,0.12275017630803069
19,79.62,1.2557616104733818,-0.3429861100457954,2.622011510985264,2.584433866936075,0.03757764404918884,0.4685220877458476,4299.255913199478,3954.927357895925,-0.036254786258879665
20,79.6,1.2489018882724658,-1.933511879483496,3.1285709903799583,3.0765452323001714,0.05202575807978693,0.5205478458256345,4169.665313245412,4316.047412694405,0.014985010020188297
21,79.58,1.210231650682796,3.148472292832971,5.051996834134332,5.3282153751578,-0.2762185410234679,0.24432930480216664,5727.536836074118,4309.852579314436,-0.123505475838914
22,79.56,1.2732010965394553,10.411422951577887,3.4716603793425387,3.6437923617896937,-0.172131982447155,0.07219732235501164,13733.810314577488,9874.81253985673,-0.143262184937516
23,79.54,1.481429555571013,-6.278803070423966,2.6584423384109885,2.7231534882055994,-0.0647111497946109,0.007486172560400739,5478.321079938196,7333.86739406416,0.12668557077218853
24,79.52,1.3558534941625338,-2.6530508127488694,2.912339302667371,2.876148625346744,0.036190677320627085,0.043676849881027824,4218.189626542962,4668.486456675031,0.04405000392499619
25,79.5,1.3027924779075564,1.421009448138566,2.91444770899086,2.855163640463649,0.05928406852721091,0.10296091840823873,4824.4334803324755,3915.6179175858824,-0.09064601555280592
26,79.48,1.3312126668703277,2.4861379201564837,2.650072091399137,2.5986689419313516,0.05140314946778535,0.15436406787602408,5335.796799870603,4064.3727456298657,-0.11820575176889299
27,79.46,1.3809354252734574,-2.1136160548950844,4.202720806966668,4.229669751499429,-0.02694894453276131,0.12741512334326277,4175.5482831667105,4463.322448509558,0.028944753235917473
28,79.44,1.3386631041755557,-10.594017951774948,2.868201079227901,2.922130627735852,-0.05392954850795073,0.07348557483531204,9187.041812819713,12167.698798031986,0.122032757577685
29,79.42,1.1267827451400567,-7.04893088502434,2.9397172280237314,2.932567752723779,0.007149475299952357,0.0806350501352644,5964.213016219894,7442.557387481834,0.0961690458528747
30,79.4,0.9858041274395699,-6.236227401625949,2.745826162999717,2.7154611163888505,0.030365046610866475,0.11100009674613087,5453.689602727625,6498.115572161264,0.07609701482080514
31,79.38,0.8610795794070509,0.43881315295080103,3.4091008555310585,3.406874228067549,0.002226627463509434,0.1132267242096403,4482.51336447183,3924.770608513497,-0.057707314504302096
32,79.36,0.869855842466067,5.889151782819169,2.8443477183343644,2.7459599525954337,0.09838776573893071,0.21161448994857102,7949.744045391669,6156.124148840116,-0.11104577653890561
33,79.34,0.9876388781224503,-1.2752247384392401,2.6324419801824797,2.5659914503840198,0.06645052979845989,0.2780650197470309,4183.740348285693,4033.0585789116435,-0.015930193423107558
34,79.32,0.9621343833536655,-1.290052122147034,3.1443022243124616,3.1022010994897844,0.04210112482267725,0.32016614456970816,4182.808285459583,4028.1778280278613,-0.016359324935457577
35,79.3,0.9363333409107248,4.151132072351671,3.064531575399241,3.0063700765599264,0.05816149883931443,0.3783276434090226,6428.180228369539,4965.0255985013755,-0.11216655271929149
36,79.28,1.0193559823577583,5.160722831906295,3.1892910324514085,3.1539706067076474,0.03532042574376115,0.41364806915278374,7264.627492771052,5449.7557514437385,-0.12483631156017397
37,79.26,1.1225704389958842,5.9128017635518,5.59121123701063,6.161583692432842,-0.5703724554222118,-0.15672438626942808,7973.134386083312,5813.83757008703,-0.13716619006217662
38,79.24,1.2408264742669202,13.227937693328862,3.548339136900254,3.566215614765513,-0.0178764778652587,-0.17460086413468678,18668.629073232176,13950.589751588568,-0.12651985929971568
39,79.22,1.5053852281334974,8.954023091588214,2.699704255617106,2.575955207675237,0.1237490479418688,-0.05085181619281798,11581.828166251118,7753.491547158643,-0.17427979948011568
40,79.2,1.6844656899652617,-0.8165934093287586,3.048831526781081,3.142910816172936,-0.09407928939185517,-0.14493110558467315,4226.568108634964,4205.790003034765,-0.0021402873906880234
41,79.18,1.6681338217786865,-8.475303395522648,2.8656590472934007,2.985205408454075,-0.11954636116067441,-0.26447746674534756,7066.110967062094,10127.084794708253,0.15630399300371992
42,79.16,1.4986277538682335,-8.137169704981462,5.279397507911387,4.80037948759459,0.4790180203167971,0.21454055357144952,6781.17610655232,9331.319234269047,0.1386380242410759
43,79.14,1.3358843597686043,7.619451141846212,3.8320494041142545,3.960970316808879,-0.12892091269462425,0.08561964087682528,9851.408775077412,6820.9826944291135,-0.15965139241045986
44,79.12,1.4882733826055285,7.881200894446727,2.834935094100355,2.8249995224312157,0.009935571669139165,0.09555521254596444,10172.694101997804,6790.850668557136,-0.17551180484632445
45,79.1,1.645897400494463,-4.182793392531914,2.8344812186502564,2.86468732186173,-0.030206103211473767,0.06534910933449067,4543.159601428643,5857.214307697635,0.11033312070742185
46,79.08,1.5622415326438248,-1.245768908647471,2.964223128942351,2.9315651709034216,0.03265795803892946,0.09800706737342013,4185.67605453073,4271.469941010745,0.008811740919580875
47,79.06,1.5373261544708754,0.7480370339147058,3.440787279069614,3.373411086416328,0.0673761926532861,0.16538326002670622,4576.7449538602195,3890.239648263735,-0.07058035562420721
48,79.04,1.5522868951491695,3.350535514148012,3.7990677927807335,3.7841732553729743,0.014894537407759145,0.18027779743446537,5858.307221716506,4161.686194357928,-0.14850281344860825
49,79.02,1.6192976054321297,4.958143005150628,2.82818728103421,2.769787376259073,0.058399904775137124,0.2386777022096025,7086.251096824459,4696.403097501608,-0.17865117140221018
50,79.0,1.7184604655351423,0.3700412449413104,2.7356530288216225,2.7548069075656767,-0.019153878744054165,0.21952382346554833,4463.23185947773,3956.709711999615,-0.05231525951584962
51,78.98,1.7258612904339685,-1.885118973948119,2.7840509642216187,2.8194423777596556,-0.035391413538036876,0.18413240992751145,4168.7974077282015,4622.17646208268,0.04483573153500471
52,78.96,1.6881589109550061,-1.923546748353555,4.022889375457019,3.8076672724926386,0.21522210296438082,0.3993545128918923,4169.46190751652,4609.511959999886,0.04357493570174812
53,78.94,1.649687975987935,3.6169231889692677,3.12513573235479,3.075260909763317,0.049874822591473134,0.4492293354833654,6038.751183309216,4179.738119060099,-0.159798063631707
54,78.92,1.7220264397673204,1.6339628255366279,3.045281720709012,3.0016265182293016,0.04365520247971055,0.49288453796307596,4914.973020634041,3869.1803284115604,-0.10390216715900337
55,78.9,1.754705696278053,0.26434108622941377,3.0985149184678753,3.0515932246709685,0.046921693796906805,0.5398062317599828,4434.785637491912,3983.039273188923,-0.046658043731649834
56,78.88,1.7599925180026412,0.013253810548130573,2.7146022437092086,2.754741239609988,-0.040138995900779406,0.49966723585920336,4372.987506589086,4031.899901215499,-0.03526849511773149
57,78.86,1.7602575942136038,-2.570629368895161,2.712605405874104,2.787976764771491,-0.075371358897387,0.42429587696181637,4209.246172105573,4984.822650272425,0.07344538599905816
58,78.84,1.7088450068357006,-3.123728471776932,2.9573445269015157,2.957492570667699,-0.0001480437661833811,0.424147833195633,4286.044157447325,5243.140112865692,0.08753482245992479
59,78.82,1.646370437400162,-0.7746633828885408,3.5654524900852724,3.4491639089037847,0.11628858118148777,0.5404364143771208,4231.836598142425,4175.039292831451,-0.00586832300425006
60,78.8,1.6308771697423912,2.691715552805496,2.721937885680609,2.7766190386007987,-0.054681152920189824,0.48575526145693093,5451.333379143899,3982.147394962119,-0.13638541140753543
61,78.78,1.684711480798501,-5.4116246886199315,2.747782507821699,2.8697754973143614,-0.12199298949266257,0.36376227196426836,5022.725137806665,6887.908536210392,0.13714795893349813
