traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
0,20260620,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,29.030277125820497,-69.40958388110998,8.807476198180442,69.93430762746841,7.04943274827973,16.90484590993039,8.380908575478013,1420.4732844013638,0.0,0.0,0.0,-3992.1141806084406,310.86544544403415,0.16014085415787102,1419.434556824271,2.4950027090000004
0,20260620,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,35.951353160082505,-110.42480557297755,28.23110260720778,118.53939953695489,-6.006533960101085,19.676895116080324,27.62611505910726,1390.8969513621548,0.0,0.0,0.0,6925.31649089609,231.10234825055758,0.1190512743990289,1381.200383990423,143.426712041
1,20260621,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.742641069492432,-96.13503659814842,30.31791522087692,115.25478149895727,-13.223146029928742,20.42752578744839,-14.486114997769125,1247.245344799957,0.0,0.0,0.0,-4105.732536930929,54.577758573897576,0.028437823428805933,1244.6771995339147,1.6583482919999994
1,20260621,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,36.75189671978851,-158.72025168999494,57.943699979866665,193.4304944721955,-35.48072263169712,18.337375295598736,6.110546719907412,1494.8090643025469,0.0,0.0,0.0,6943.880697882463,222.22168012546308,0.1157889416236101,1494.300028980546,147.46311804200002
2,20260622,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,29.111363806489088,-99.30946445788553,20.785721434954723,122.05027157663325,-2.6582513418791285,19.9736534874843,22.117908799401878,1262.525111700531,0.0,0.0,0.0,-4176.80338898043,171.80193097852415,0.08944299647720207,1256.4021175209318,2.827469542000017
2,20260622,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,40.708523350685546,-135.60974337711468,43.22116071014819,159.36457454386394,-21.038033357084217,32.099495884221106,5.744622636550821,1249.5091524251511,0.0,0.0,0.0,6923.827543037294,1101.4809255517785,0.5734496346036314,1249.252163886693,193.81617025000003
3,20260623,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.85562638532841,-78.18173442624992,14.994882171086315,87.70771664586101,-0.42467677368140105,20.300427122859737,11.529906671104607,1260.8300456182128,0.0,0.0,0.0,-4132.415401632066,116.67983044645813,0.05985380895689385,1259.1929357967413,2.6527124589999858
3,20260623,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,34.97923871894465,-110.2668263998909,27.128832096898666,126.52832296957737,-10.345334645218296,18.380928398785315,15.156884618487046,1415.7993363729154,0.0,0.0,0.0,6961.216089693014,214.10603892707505,0.10983099565214902,1412.6747511057815,150.469067209
4,20260624,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.214819650521274,-77.64009412925665,22.91869233953909,94.35121651771956,-12.89455004015492,17.569152341481793,-10.641598900735158,1351.4123654559392,0.0,0.0,0.0,-3924.4203631267756,178.33397779743717,0.09129566013789761,1349.8009720394307,1.785466499999984
4,20260624,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,38.13173678990224,-129.26313775342493,49.88962501573832,159.3426280119322,-35.582426642502625,22.285608365635394,-33.03026323891636,1527.657400480325,0.0,0.0,0.0,7043.168015099535,400.5143650179187,0.205037894632479,1515.4186435850854,161.518596291
5,20260625,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,29.221906663337545,-76.30176590590307,25.136243607683763,86.46592301944295,-13.49200700170552,17.972440223804625,2.458461711208817,1376.1841694023603,0.0,0.0,0.0,-4021.6702920349157,151.2285353498818,0.07976965373813133,1376.1000993315613,2.4174181659999476
5,20260625,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,37.206754387343445,-126.6223743415178,54.19016221260441,146.06725337675695,-34.63536794385463,17.672475996283207,-32.45877173205694,1495.8633564623847,0.0,0.0,0.0,6908.832062003571,245.86400761524044,0.12968773855252672,1480.9593323233073,146.78483912499996
6,20260626,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,25.83135587413724,-88.48144442972368,23.61472104586154,101.64899326722814,-8.709296606535064,17.62873079648119,-17.682167264143438,1380.7893623906714,0.0,0.0,0.0,-3737.2366505536756,240.54507513058067,0.1179638130264417,1376.3554282801645,2.807129457999963
6,20260626,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,35.834350148982494,-129.48733578809092,46.16502646911966,149.40292699984482,-26.284713330815023,20.637713833832997,-2.731589874935665,1473.4031753369313,0.0,0.0,0.0,7067.321936649156,227.607152702101,0.11161902853449034,1473.3129076394218,175.16579449999995
7,20260627,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,27.081948951679333,-86.49541156603061,18.414262769354977,102.42925077424643,7.495903898836271,18.140314798774416,-8.610680369836077,1277.7050974464669,0.0,0.0,0.0,-4173.030400242249,185.1591622042552,0.09400574303643934,1276.683457146122,2.7843150409999
7,20260627,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,36.823983471518574,-116.82370872457075,39.68420653845037,137.57179565404525,-5.401717976603942,24.152602626091326,-7.7542611033055975,1291.3601308236364,0.0,0.0,0.0,6919.453836433289,414.5345186127221,0.21046015207961488,1290.737778660286,178.23568041600015
8,20260628,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,24.798123805773724,-95.67960881257875,11.68970975405177,116.72457792412787,1.9939193543323355,20.79486832231541,0.03320565330154521,1220.0906537241287,0.0,0.0,0.0,-3856.533947993289,101.45818987075383,0.05023005886978304,1220.0906537241287,2.3685579160001
8,20260628,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,36.93046461789071,-133.67050207595915,36.653105636628304,156.90942340597803,-20.511498810355018,23.99422559183587,-27.507497912212582,1404.1747795315282,0.0,0.0,0.0,7044.3945513456465,523.9565232113135,0.2594011093598035,1396.2910163018669,157.73858833300005
9,20260629,complete,True,0,,M3,asymmetric drift with velocity-dependent diffusion,25.925537258458256,-94.53680814114466,14.130821249215103,107.23342584221695,4.837045180235118,18.344499582880843,9.547222343327663,1348.907097825796,0.0,0.0,0.0,-3799.3288649494134,217.5324005067985,0.10742228177701907,1347.6667052909315,2.7169663340000625
9,20260629,partial,True,0,,M3,asymmetric drift with velocity-dependent diffusion,37.12470748433299,-135.28574684809632,26.994931073685095,156.870222884468,-2.756829784361909,25.70885859614682,-14.078131048843009,1456.969869003461,0.0,0.0,0.0,7142.463723339038,722.3369710253918,0.3567058767276511,1455.0425962854194,175.22553575000006
