traj,seed,observation,success,convergence,error,model,description,eta,a,b,c,d,alpha,beta,gamma,delta,epsilon,zeta,nll,q_path_rmse,q_path_relative_rmse,q_path_min,time_sec
0,20260620,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.4622265814155,-69.24340195577815,10.737339971248346,72.32706223900844,4.993072609768466,16.75139254359537,15.190203281872744,1277.1381027501575,154.8966568319701,-26.632637154179907,34.78135375121356,-3994.272755006321,365.2942142337467,0.1876135651744803,1270.5269426541752,10.091212292
0,20260620,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,35.70276622662403,-111.11385077906013,27.504465791401195,123.20528302546946,-6.591831046852432,18.629972347723534,36.57391092673478,1348.7499912160285,58.180219382495096,-37.547865385562126,46.26921598039695,6923.431634861245,331.6116918882121,0.17031436399613584,1286.957331163063,712.650806375
1,20260621,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.68095844937736,-98.35507983488448,31.01530554021088,115.69702793936632,-11.344883510211673,20.171935488328387,-25.119095340813526,1251.9843576683197,12.184462291282124,29.265971090990845,-70.12644291519142,-4091.7292098943362,202.26831876686052,0.10501384012702786,1159.4328345839872,5.716598625000074
1,20260621,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.2329035529256,-159.10407915831968,59.281823465450564,190.9888594661999,-35.29882200670995,18.361344250830445,0.7075074689768378,1501.3831269962473,11.506170945954105,21.078925905964237,-172.7879731768694,6946.778474329505,280.4030941809326,0.14557992019195462,1159.678987479549,438.041197666
2,20260622,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,29.084000545990104,-101.12780637652065,23.657070351008148,126.6344316050577,-6.736941326268646,19.97044980692519,25.035052311727977,1269.6030566232964,3.752245485318203,-4.713583418447031,-32.0680162110114,-4160.8101473813385,194.095983416836,0.10069920969961126,1224.9073698044706,6.157135917000005
2,20260622,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,41.05968217540328,-138.06759214837953,47.15694695172124,166.0141853123225,-26.26406832162312,32.77806805000771,4.874480897371709,1258.951665354235,9.597162489317821,-24.37312215602916,-80.63336999749393,6927.9762117327855,1171.0338175805018,0.6075456992256679,1147.5870642101117,372.4804750840001
3,20260623,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.242901247470208,-79.55755408315301,14.142848207990133,90.16627284066729,-0.15627500019980126,20.092183911374416,12.403272279793928,1283.7536877499454,0.7689722121332582,-0.29848954370390796,-1.282452533411356,-4115.57671785183,114.96813387505613,0.058767489175768704,1281.3799984701711,7.142735874999971
3,20260623,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,35.4476650196261,-105.8865650143508,23.399919780943055,115.62557448085812,-7.092609562431119,18.682010540824926,13.528027028708332,1439.235677042327,6.515861314823696,17.48974434615971,-25.402886888359685,6966.531593650145,229.0000089656392,0.11705639723407721,1386.6484850801264,425.293765333
4,20260624,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.19221457867889,-77.77172550362745,23.32881395393008,93.62405846707608,-12.881353331432797,17.603409946569133,-10.388449179254566,1351.6645241749302,3.4204673227053797,11.512224320904174,17.264276233964093,-3908.032295280655,179.8765676705686,0.09175859358170084,1317.6832914479785,7.3912957920001645
4,20260624,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,38.14115693934522,-124.6500345420475,48.531990443657584,149.31204667140716,-34.8536537218085,22.57843658987736,-33.99579472413664,1523.1710836741952,4.637596694460215,8.531986093607804,-127.58606094433635,7050.518695398324,447.04958285172825,0.2280488310122032,1313.5133225255624,379.9131936670003
5,20260625,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,28.797651986196275,-84.1678501184848,25.060293167784863,102.11939769400108,-13.299791942039434,17.3012718159684,4.125358083966201,1391.2414799683015,1.9540364006725137,-5.6379828477053255,-10.985023314572176,-4005.447751496337,205.53629003349562,0.10811997965343112,1378.453611064027,4.526175499999681
5,20260625,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.73902525345786,-136.01341126648535,52.18813901728752,159.5632462577185,-34.68665870068047,18.255752083891437,-30.7232135415077,1440.4019299091474,5.25945584588925,12.321295814456496,-121.92289070145061,6913.8400005971125,252.07368083408582,0.13260043391123444,1231.0029806164525,375.94549341599986
6,20260626,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,26.16561868041766,-86.9597539204019,23.148689376401276,102.96749615395544,-8.792834516815793,17.6693223576847,-18.272566118941192,1332.4719167270755,60.965929814858306,-20.516199917994612,-40.47560395088593,-3730.358147757367,291.1530296464267,0.14229339423004722,1315.912933753968,8.635269957999753
6,20260626,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,35.73239537004538,-130.14504401680446,45.85272855309039,149.52237396758974,-25.972675848056266,20.017741808803123,-2.9843690514350576,1360.8328100435788,144.30406665263223,0.2503677408721898,20.06624365747887,7069.201543124791,239.64217227793904,0.1171188159556497,1360.0890099702597,587.9189844580001
7,20260627,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,27.084502682315126,-87.30080132780256,21.603362697611594,104.09054892330502,1.695656604762311,17.775240858990006,-3.234360043807114,1282.783353298217,2.0316481113929377,-9.502825150904444,18.8744715218436,-4153.967864635174,231.42974988468384,0.11704628834843209,1260.3765773080456,6.935621500000252
7,20260627,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.84234676412827,-118.96760121770049,42.563756534509906,140.43054143059064,-7.391409552743627,23.813893480481518,-1.5224869677292492,1297.5963330738018,12.947192246081695,-13.708787009193532,-11.66362784044479,6926.510083694999,395.4031541266754,0.19997632808595647,1294.3187975799633,397.576227
8,20260628,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,24.90113048885419,-93.91947296711086,13.658097878993667,116.10048055386862,-0.056604088368017634,20.896011313033387,-3.997712115510924,1165.1891448607457,67.84300077576017,-11.983089999734926,34.34154870004983,-3848.790574430658,150.3926864678437,0.07426627329067127,1160.9669848284977,9.7096604999997
8,20260628,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,37.594465165843374,-126.69535647566944,36.92614432523489,144.9546068693764,-20.942925171913828,23.941568285696793,-28.42684002528688,1436.9316501242338,1.6970408952359266,-4.636708150540263,-61.67324001872492,7048.651816583746,545.3000611108506,0.2692777442507961,1318.7627171933734,417.09275300000036
9,20260629,complete,True,0,,M4,asymmetric drift with position-velocity diffusion,25.620089729966093,-101.99040998162326,19.02024625664299,121.61899515042674,0.6931514910138914,18.568195955307853,18.10986685614421,1293.1957091767147,10.244597908903067,-23.845202454780335,95.08648565885504,-3790.9065789420906,269.7159268788149,0.13265880286145484,1108.788576750665,4.945499500000551
9,20260629,partial,True,0,,M4,asymmetric drift with position-velocity diffusion,36.88042594822214,-133.93584827665487,24.98333062144771,159.52956254438584,-3.2485129378263027,25.555243118455333,3.6785467481238836,1367.4258756864317,63.233466950482565,-35.00174267652157,71.60048294021676,7142.425354775358,749.2796013997888,0.3685304612169397,1340.5812389469263,653.9825842079999
